person,label
4886f805,0.04
0297fc1e,0.02
2d681dd8,0.0
cccea85e,0.1
4c8a8b93,0.02
29ebb414,0.02
3dc1950f,0.12
8ea4c165,0.04
d8cfe234,0.04
d6bc64df,0.04
ec9c4059,0.04
d21b8e6b,0.04
2a724d87,0.04
686c49c9,0.0
a08d42ea,0.04
c98f5cf1,0.14
d614c608,0.0
e45acd53,0.1
7d876393,0.06
f5af843f,0.02
5a724794,0.14
00091926,0.04
55d1e0ee,0.04
f87be219,0.0
49c19e32,0.0
bb78c182,0.0
e2bfe05f,0.0
0e9d0ae2,0.0
cb68850c,0.02
f30ef764,0.02
ca5fa859,0.02
4f06f2dd,0.0
872d9b83,0.04
dca7e4fa,0.04
3cb2bfc5,0.0
0ec008ff,0.08
19876c5b,0.02
36606944,0.04
3c36c384,0.02
25ec69e5,0.06
02a9fd4c,0.02
e9c847d7,0.06
8f7d334b,0.04
fd683087,0.12
aa5593bc,0.0
e39a4b4f,0.0
8aeb37ef,0.02
c76b8417,0.14
b51c3897,0.04
49013e40,0.06
18ad1f7c,0.08
ea679233,0.0
39df97e0,0.06
4473cb91,0.04
a90bb821,0.06
66f3c5a8,0.04
6972936f,0.06
f484e20b,0.04
bb5c496a,0.0
fa15dd75,0.18
8036d563,0.02
051b11a7,0.1
a708f6b7,0.04
8af64425,0.04
290a4ade,0.04
5ea8fd22,0.0
73f02c61,0.06
b364ac0f,0.04
27c4deeb,0.04
1a8f3e6d,0.12
75aea7ed,0.02
68bee360,0.04
7363f782,0.04
5f5a1be2,0.04
f2ab91ec,0.02
f7e13865,0.04
f70a331b,0.06
69fe770b,0.04
73b5ddeb,0.26
3aae4375,0.04
2beddf66,0.06
17b858f9,0.06
f75b14e8,0.02
67ec6a13,0.06
2466dcee,0.1
bbac557c,0.04
57d078f9,0.0
6791adff,0.02
2fca45c7,0.06
ee7d1909,0.06
b87bf3c0,0.02
229a0726,0.06
e28fa553,0.02
e2d69e04,0.02
f99328eb,0.12
7a98e5bb,0.08
60d720a3,0.06
8f6d708a,0.12
91a293e8,0.04
dbff7610,0.04
c104bc78,0.12
b3bf2435,0.08
8611216e,0.1
2454293c,0.04
82d31364,0.02
f1f2d6aa,0.02
45599974,0.12
b8112306,0.04
7e317918,0.02
a30504be,0.12
f88200f4,0.1
97267956,0.04
2fec9bbc,0.12
4e5d317d,0.02
f8e37457,0.02
9411a009,0.04
166bf528,0.02
5429fbb6,0.16
49ff6d6e,0.08
19c94e0b,0.08
0ff75b46,0.1
224613bb,0.04
179720f1,0.08
1070bca3,0.08
a5d31df5,0.12
4e5c868d,0.08
653f68fe,0.12
3ebc771d,0.06
517bf648,0.08
254f8761,0.02
c844a662,0.0
7f6c85e8,0.08
35ee0cc8,0.1
c1d99fe2,0.04
55fc24ef,0.02
77e489c7,0.02
62ba2fba,0.12
ae4bfc26,0.04
22f1d021,0.0
72368746,0.06
55e87de8,0.02
c56dff49,0.08
ba724fb6,0.06
b97b9d93,0.06
7025ac12,0.06
bada76d3,0.02
70a325eb,0.06
fb19ca5a,0.06
f6cd21a1,0.06
91752493,0.06
92059fdf,0.02
4d233ac6,0.02
46a1efca,0.02
23b90f81,0.12
2606c8da,0.04
23e6906d,0.04
cf75487d,0.02
e349f752,0.02
d4e83772,0.1
9952a8e0,0.04
edc38036,0.06
e4b71e52,0.08
ed39978f,0.08
5b7a7697,0.04
a4e3e0ba,0.02
1033c7f1,0.12
a16a0211,0.1
2df10e76,0.06
732df811,0.02
80c8726f,0.06
619bff69,0.12
ed7382a8,0.04
3043e183,0.12
8ab5791a,0.14
6929face,0.14
6b5088da,0.06
685dc7f7,0.06
919bcd48,0.04
9a00037e,0.04
55f7ae64,0.0
fed81014,0.06
fd5e4491,0.02
e9c994b8,0.02
e4594222,0.02
a7b6e286,0.02
991360db,0.06
c5a0bc36,0.0
2287c9f7,0.06
0c9d90d6,0.02
41bfa3b9,0.14
b00a6f27,0.0
8a4b69ec,0.04
6ea9ffd2,0.28
d0c5aa85,0.06
fc4b841d,0.0
db1a3c00,0.04
9b4f540a,0.0
7ac0c607,0.18
af95a93c,0.06
a8ca0988,0.02
e8a1b038,0.06
bb31d716,0.06
b86b400e,0.08
852abc08,0.06
ad4b1e5f,0.0
2ff5b818,0.0
bf15584a,0.08
4a3c0db7,0.02
5f7f0c55,0.08
9df0e397,0.04
03302054,0.06
000e4d9e,0.0
ad5943a9,0.02
f431031a,0.12
ee8dd67c,0.1
656072a3,0.0
846372d4,0.0
d1fd6caa,0.06
8a0a63af,0.06
670639bc,0.0
ae5b92db,0.0
41ccd2c6,0.0
bdd23ab2,0.04
270b42e3,0.12
ef8b96c3,0.06
bb8116c9,0.0
594a53d3,0.0
108caf2c,0.24
18a185e1,0.0
ff9fc164,0.06
8a590d23,0.02
166a19f7,0.04
ee20c405,0.0
814db0b5,0.06
b0f9b8a1,0.0
73ffc5f4,0.12
0aa2b925,0.16
f4bae3c6,0.12
92c81866,0.12
6f0826b2,0.08
d1a14d14,0.02
1e13d639,0.12
3956b1e1,0.08
f2c6d57c,0.0
29f80519,0.0
04b13fd2,0.06
ce36e512,0.08
8a4ba4e2,0.04
1443cf62,0.02
5125c494,0.06
604d8035,0.0
80866567,0.0
9bb623c2,0.0
a53a1a30,0.08
103e0f7d,0.02
cd3a841d,0.02
fb6b16a8,0.0
89f62393,0.06
2c85b2fa,0.02
75950669,0.08
d84ae194,0.02
77bad6f5,0.08
2b213b2c,0.04
8808e6a9,0.02
b5a09122,0.04
bf46c410,0.06
42cc8a1d,0.08
0744ba92,0.12
b9996281,0.1
471fb833,0.12
c449fd13,0.08
b059104a,0.1
ba61790b,0.06
deb5fa7a,0.0
71d5d6e4,0.12
766c271c,0.0
df127511,0.12
f7e04556,0.04
abe38822,0.06
0e3c91a6,0.02
efae8f71,0.14
31c9f140,0.0
aefc81ce,0.02
1fea3435,0.02
54d47ad8,0.06
df80a783,0.0
9bc43f7e,0.1
3e066076,0.06
67bdc946,0.02
32234ad9,0.12
77b15b7d,0.08
2e515d51,0.08
37a0837e,0.08
3dbfcd14,0.04
5fdd715e,0.06
1d762b15,0.02
9a0373f1,0.06
9bf77a71,0.1
32e355cf,0.02
134cc999,0.1
3a44e639,0.08
2c90f768,0.02
fb23d1c3,0.08
a5d3c172,0.06
583bd9b9,0.02
f5e0b71d,0.02
360675d0,0.0
cb61f387,0.02
017fd805,0.12
99e4baf5,0.06
56b0c4d1,0.04
b5ea45de,0.02
e0848af4,0.08
811b25fd,0.06
33b6da32,0.02
62f88039,0.06
d010170b,0.06
27c58569,0.02
847b40a8,0.02
aea593cd,0.02
0d491a97,0.1
a0cf85b8,0.02
a7a651a9,0.08
8ed9e6f4,0.12
91274e51,0.04
078baec6,0.04
f3db7ee1,0.0
5dc80ac6,0.02
bb62445d,0.14
cd883145,0.02
35259134,0.08
08a82be5,0.1
5842c17d,0.04
b261977e,0.08
8aa5e0d6,0.04
45228a20,0.04
7f302cb0,0.02
9df21469,0.02
baf3e801,0.04
66b1e1fc,0.1
fdfa8de9,0.06
cdd8bff0,0.02
019ac712,0.12
c96353d2,0.16
33fd8777,0.02
57fda37b,0.06
8d4871e5,0.04
d8c206b4,0.08
50ddf0e6,0.06
4540ea89,0.04
8e96b9f3,0.1
0d4ff378,0.06
15a387cc,0.06
e5ca4cf8,0.06
3b63c0e7,0.04
1c895a10,0.04
16240ed7,0.02
5ccda85d,0.0
9c4c7c4f,0.1
469142a7,0.06
ac1583f1,0.02
55c12370,0.16
7bc14702,0.1
f8b0b255,0.0
404a56c8,0.06
845c97aa,0.02
3250bb4c,0.0
f008fa79,0.0
814907c9,0.0
59c58e14,0.08
e0cd7123,0.02
592d9dcc,0.0
c5d94b7e,0.02
e1bebdaa,0.04
16d8c2b9,0.04
9e150660,0.04
efa4a3a1,0.0
78c0f1fb,0.04
ba1bec4f,0.04
dba88b07,0.0
e57fce7a,0.06
59005136,0.04
b4fb0b1d,0.02
f3753b33,0.0
966e44f8,0.08
25b582b8,0.0
65f8d5cb,0.06
b3c6d9c9,0.0
e05a69dc,0.14
686caccf,0.06
7aaf6a5d,0.12
935b71e8,0.04
069b6014,0.0
d1234702,0.06
031bee81,0.02
a1366568,0.0
d4d0574c,0.04
a11ca9f4,0.04
2a617e51,0.02
69e0170f,0.02
103fe4b6,0.02
add5b338,0.1
a1c4090f,0.04
1a3bbb33,0.0
a5387dcc,0.06
04e15d15,0.02
f5b98da1,0.02
8e442787,0.08
6fe3a568,0.0
b8d43db3,0.0
a9eeb58b,0.02
b0d6ddf1,0.02
1b384b8d,0.04
08198e83,0.06
